Date,Open,High,Low,Close,Volume,Adj Close
2010-06-24,17750.51,17845.65,17632.8,17730.24,15600,17730.24
2010-06-25,17705.11,17714.73,17546.73,17574.53,19200,17574.53
2010-06-28,17577.66,17794.8,17571.85,17774.26,19200,17774.26
2010-06-29,17777.95,17777.95,17465.73,17534.09,19200,17534.09
2010-06-30,17476.85,17725.04,17373.78,17700.9,18200,17700.9
2010-07-01,17679.34,17679.34,17455.41,17509.33,16200,17509.33
2010-07-02,17523.47,17598.94,17426.78,17460.95,17200,17460.95
2010-07-05,17473.83,17505.73,17423.74,17441.44,7800,17441.44
2010-07-06,17402.68,17643.14,17395.58,17614.48,15600,17614.48
2010-07-07,17623.66,17623.66,17447.15,17471.03,15200,17471.03
2010-07-08,17536.48,17728.37,17536.48,17651.73,14200,17651.73
2010-07-09,17667.85,17857.58,17667.85,17833.54,26000,17833.54
2010-07-12,17875.97,18010.07,17874.95,17937.2,16200,17937.2
2010-07-13,17908.3,17998.04,17855.85,17985.9,17000,17985.9
2010-07-14,18024.95,18167.22,17897.26,17938.16,16800,17938.16
2010-07-15,17874.71,17978.56,17858.73,17909.46,11800,17909.46
2010-07-16,17911.13,17980.27,17892.16,17955.82,13200,17955.82
2010-07-19,17914.12,18005.07,17856.4,17928.42,11800,17928.42
2010-07-20,17918.43,18040.17,17848.07,17878.14,11600,17878.14
2010-07-21,17873.92,18012.2,17873.92,17977.23,13000,17977.23
2010-07-22,17978.37,18127.9,17879.88,18113.15,16000,18113.15
2010-07-23,18132.29,18237.56,18093.93,18130.98,17400,18130.98
2010-07-26,18056.24,18194.09,17993.88,18020.05,16800,18020.05
2010-07-27,17998.74,18149.56,17998.74,18077.61,15800,18077.61
2010-07-28,18077.85,18137.14,17925.4,17957.37,15400,17957.37
2010-07-29,17961.58,18013.1,17902.84,17992,11600,17992
2010-07-30,17981.06,18000.35,17838.92,17868.29,14000,17868.29
2010-08-02,17911.31,18104.24,17911.31,18081.21,11000,18081.21
2010-08-03,18149.9,18167.45,18072.38,18114.83,13800,18114.83
2010-08-04,18115.56,18249.46,18093.03,18217.44,11200,18217.44
2010-08-05,18234.85,18295.43,18156.45,18172.83,10200,18172.83
2010-08-06,18165.49,18244.56,18118.19,18143.99,9800,18143.99
2010-08-09,18141.11,18309.25,18139.9,18287.5,11000,18287.5
2010-08-10,18272.28,18293.4,18170.77,18219.99,17800,18219.99
2010-08-11,18177.35,18263.88,18042.89,18070.19,20200,18070.19
2010-08-12,17972.65,18113.62,17914.78,18073.9,19600,18073.9
2010-08-13,18080.29,18260.39,18050.42,18167.03,18600,18167.03
2010-08-16,18169.8,18203.92,17997.46,18050.78,16000,18050.78
2010-08-17,18049.19,18140.15,18026,18048.85,12800,18048.85
2010-08-18,18067.67,18286,18067.67,18257.12,14800,18257.12
2010-08-19,18276.5,18475.27,18276.5,18454.94,14600,18454.94
2010-08-20,18444.24,18464.14,18360.9,18401.82,14200,18401.82
2010-08-23,18400.33,18454.38,18371.02,18409.35,11400,18409.35
2010-08-24,18407.01,18451.73,18260.71,18311.59,14400,18311.59
2010-08-25,18308.51,18312.43,18156,18179.64,15800,18179.64
2010-08-26,18194.78,18261.06,18159.13,18226.35,12800,18226.35
2010-08-27,18205.9,18248.36,17944.16,17998.41,13600,17998.41
2010-08-30,18063.48,18216.5,17960.23,18032.11,11600,18032.11
2010-08-31,18015.66,18015.66,17819.99,17971.12,16400,17971.12
2010-09-01,18027.12,18227.14,18027.12,18205.87,14400,18205.87
2010-09-02,18215.28,18355.84,18215.28,18238.31,13400,18238.31
2010-09-03,18238.08,18316.32,18206.5,18221.43,9400,18221.43
2010-09-06,18124.29,18600.3,18124.29,18560.05,18200,18560.05
2010-09-07,18571.73,18711.2,18571.43,18645.06,14600,18645.06
2010-09-08,18627.67,18721.21,18540.65,18666.71,20200,18666.71
2010-09-09,18669.12,18823.17,18669.12,18799.66,13200,18799.66
2010-09-13,18845.31,19243.44,18845.31,19208.33,15800,19208.33
2010-09-14,19218.13,19487.02,19218.13,19346.96,21000,19346.96
2010-09-15,19343.74,19554.5,19340.99,19502.11,17400,19502.11
2010-09-16,19476.93,19636.66,19383.46,19417.49,16200,19417.49
2010-09-17,19436.71,19639.18,19436.71,19594.75,16600,19594.75
2010-09-20,19445.42,19927.3,19445.42,19906.1,19600,19906.1
2010-09-21,19925.79,20088.96,19860.88,20001.55,15800,20001.55
2010-09-22,20039.43,20105.54,19804.02,19941.72,14400,19941.72
2010-09-23,19944.3,19998.32,19771.63,19861.01,11800,19861.01
2010-09-24,19836.43,20071.75,19833.52,20045.18,17400,20045.18
2010-09-27,20082.26,20267.98,20082.26,20117.38,17400,20117.38
2010-09-28,20114.37,20157.51,19981.96,20104.86,13400,20104.86
2010-09-29,20086.89,20234.05,19923.11,19956.34,18800,19956.34
2010-09-30,19931.49,20114.73,19864.46,20069.12,15800,20069.12
2010-10-01,20094.1,20475.47,20094.1,20445.04,19200,20445.04
2010-10-04,20501.21,20706.74,20437.36,20475.73,15000,20475.73
2010-10-05,20461.98,20560.54,20383.16,20407.71,17800,20407.71
2010-10-06,20448.69,20669.95,20447.05,20543.08,16200,20543.08
2010-10-07,20544.3,20581.29,20272.77,20315.32,19200,20315.32
2010-10-08,20297.58,20409.19,20145.74,20250.26,15400,20250.26
2010-10-11,20250.26,20461.27,20250.26,20339.89,11600,20339.89
2010-10-12,20357.79,20368.4,20107.25,20203.34,13400,20203.34
2010-10-13,20223.45,20703.97,20211.66,20687.88,14400,20687.88
2010-10-14,20700.42,20854.55,20442.82,20497.64,15200,20497.64
2010-10-15,20518.5,20578.45,20090.18,20125.05,9400,20125.05
2010-10-18,20160.55,20229.39,19870.51,20168.89,12600,20168.89
2010-10-19,20298.55,20332.02,19923.96,19983.13,12000,19983.13
2010-10-20,19924.02,20043.82,19822.66,19872.15,10600,19872.15
2010-10-21,19951.34,20293.1,19886.12,20260.58,12800,20260.58
2010-10-22,20334.14,20351.74,20088.67,20165.86,13200,20165.86
2010-10-25,20199.73,20452.3,20199.73,20303.12,12200,20303.12
2010-10-26,20325.44,20344.68,20189.3,20221.39,10200,20221.39
2010-10-27,20220.58,20220.58,19923.71,20005.37,12000,20005.37
2010-10-28,20116.49,20185.46,19869.32,19941.04,11600,19941.04
2010-10-29,19986.32,20080.33,19768.96,20032.34,14400,20032.34
2010-11-01,20272.49,20609.65,20267.1,20355.63,5400,20355.63
2010-11-02,20407.18,20418.35,20281.73,20345.69,13200,20345.69
2010-11-03,20472.86,20538.8,20426.18,20465.74,10000,20465.74
2010-11-04,20605.63,20917.03,20605.63,20893.57,12800,20893.57
2010-11-05,21045.66,21108.64,20961.98,21004.96,5200,21004.96
2010-11-08,21041.97,21075.71,20822.37,20852.38,13800,20852.38
2010-11-09,20851.91,20984.08,20762.81,20932.48,11800,20932.48
2010-11-10,20917.54,20970.91,20849.92,20875.71,15200,20875.71
2010-11-11,20930.45,20937.38,20544.22,20589.09,12600,20589.09
2010-11-12,20529.74,20593.91,20108.4,20156.89,14600,20156.89
2010-11-15,20167.62,20335.51,20046.6,20309.69,14200,20309.69
2010-11-16,20371.73,20380.1,19832.22,19865.14,15200,19865.14
2010-11-18,19997.83,20056.44,19615.51,19930.64,21800,19930.64
2010-11-19,19982.75,19983.89,19504.87,19585.44,16400,19585.44
2010-11-22,19713.84,19989.02,19641.42,19957.59,11000,19957.59
2010-11-23,19841.42,19841.42,19342.69,19691.84,14200,19691.84
2010-11-24,19735.28,19835.57,19375.92,19459.85,12200,19459.85
2010-11-25,19560.25,19628.27,19257.37,19318.16,13800,19318.16
2010-11-26,19391.96,19417.61,18954.82,19136.61,25200,19136.61
2010-11-29,19230.34,19450.09,19167.19,19405.1,12400,19405.1
2010-11-30,19373.23,19610.46,19218.02,19521.25,18800,19521.25
2010-12-01,19529.99,19887.26,19525.15,19850,15000,19850
2010-12-02,20038.66,20084.25,19917.77,19992.7,16600,19992.7
2010-12-03,20007.89,20067.81,19877.12,19966.93,13800,19966.93
2010-12-06,20038.25,20217.86,19944.71,19981.31,14000,19981.31
2010-12-07,19982.9,20008.36,19824.44,19934.64,13400,19934.64
2010-12-08,19874.3,19875.51,19611.35,19696.48,12600,19696.48
2010-12-09,19746.15,19771.09,19160.87,19242.36,17200,19242.36
2010-12-10,19201.89,19537.4,19074.57,19508.89,16000,19508.89
2010-12-13,19600.28,19710.57,19321.41,19691.78,15400,19691.78
2010-12-14,19746.75,19836.82,19621.41,19799.19,13400,19799.19
2010-12-15,19791.22,19817.61,19571.43,19647.77,14000,19647.77
2010-12-16,19698.58,19897.22,19554.35,19864.85,15400,19864.85
2010-12-20,19770.02,20006.16,19711.12,19888.88,11200,19888.88
2010-12-21,19925.76,20090.84,19925.76,20060.32,14200,20060.32
2010-12-22,20118.82,20151.25,19931.31,20015.8,12000,20015.8
2010-12-23,20038.83,20076.08,19939.3,19982.88,7600,19982.88
2010-12-24,19911.46,20086.42,19880.36,20073.66,16400,20073.66
2010-12-27,20062.6,20190.13,20010.33,20028.93,9800,20028.93
2010-12-28,20056.47,20090.41,19981.76,20025.42,10600,20025.42
2010-12-29,20060.88,20274.2,20054.64,20256.03,10000,20256.03
2010-12-30,20274.12,20410.91,20274.12,20389.07,10600,20389.07
2010-12-31,20412.76,20552.03,20412.76,20509.09,12600,20509.09
2011-01-03,20621.61,20664.8,20531,20561.05,12000,20561.05
2011-01-04,20617.38,20651.21,20449.01,20498.72,15200,20498.72
2011-01-05,20509.95,20509.95,20243.95,20301.1,14400,20301.1
2011-01-06,20395.5,20425.85,20107.17,20184.74,16600,20184.74
2011-01-07,20163.85,20210.62,19629.22,19691.81,15800,19691.81
2011-01-10,19714.42,19720.43,19158.43,19224.12,17200,19224.12
2011-01-11,19279.77,19431.56,19003.6,19196.34,20000,19196.34
2011-01-12,19353.34,19574.63,19048.56,19534.1,19400,19534.1
2011-01-13,19492.3,19522.38,19136.27,19182.82,16800,19182.82
2011-01-14,19198.04,19447.82,18811.96,18860.44,15800,18860.44
2011-01-17,18911.43,19018.94,18779.38,18882.25,17800,18882.25
2011-01-18,18983.2,19120.62,18933.47,19092.05,14400,19092.05
2011-01-19,19153.31,19167.06,18898.56,18978.32,16200,18978.32
2011-01-20,18892.43,19100.26,18794.73,19046.54,12800,19046.54
2011-01-21,19007.08,19065.34,18932.4,19007.53,11000,19007.53
2011-01-24,19095.69,19194.46,18998.38,19151.28,11600,19151.28
2011-01-25,19227.42,19340.99,18949.44,18969.45,13400,18969.45
2011-01-27,19086.69,19086.69,18656.05,18684.43,13800,18684.43
2011-01-28,18708.62,18723.12,18235.45,18395.97,18600,18395.97
2011-01-31,18226.21,18395.09,18038.48,18327.76,19800,18327.76
2011-02-01,18425.18,18452.06,17982.17,18022.22,20200,18022.22
2011-02-02,18216.91,18306,18042.61,18090.62,22800,18090.62
2011-02-03,18113.73,18466.21,18064.61,18449.31,21600,18449.31
2011-02-04,18450.07,18542.2,17926.98,18008.15,23000,18008.15
2011-02-07,18135.02,18180.94,17977.01,18037.19,13000,18037.19
2011-02-08,18141.51,18141.51,17742.18,17775.7,14200,17775.7
2011-02-09,17723.99,17864.32,17508.35,17592.77,30200,17592.77
2011-02-10,17603.29,17636.88,17362.59,17463.04,25200,17463.04
2011-02-11,17519.13,17752.56,17295.62,17728.61,25400,17728.61
2011-02-14,17940.16,18227.62,17857.12,18202.2,21800,18202.2
2011-02-15,18260.08,18361.66,18050.48,18273.8,23600,18273.8
2011-02-16,18273.06,18358.84,18216.12,18300.9,18800,18300.9
2011-02-17,18345.12,18532.61,18233.79,18506.82,16600,18506.82
2011-02-18,18564.08,18690.97,18159.82,18211.52,22000,18211.52
2011-02-21,18238.54,18457.49,18082.66,18438.31,19200,18438.31
2011-02-22,18390.72,18457.9,18187.33,18296.16,19800,18296.16
2011-02-23,18233.77,18377.48,18150.01,18178.33,22200,18178.33
2011-02-24,18135.12,18135.12,17559.7,17632.41,23000,17632.41
2011-02-25,17775.08,17812.44,17469.97,17700.91,21800,17700.91
2011-02-28,17811.08,18296.53,17718.88,17823.4,30000,17823.4
2011-03-01,17982.28,18478.68,17964.39,18446.5,24800,18446.5
2011-03-03,18318.32,18603.57,18253.62,18489.76,28600,18489.76
2011-03-04,18622.7,18736.97,18448.69,18486.45,19800,18486.45
2011-03-07,18361.65,18363.45,18058.71,18222.67,15200,18222.67
2011-03-08,18277.34,18466.81,18266.62,18439.65,13800,18439.65
2011-03-09,18522.8,18583.3,18303.8,18469.95,22600,18469.95
2011-03-10,18430.84,18430.84,18261.26,18327.98,18600,18327.98
2011-03-11,18248.11,18368.43,18063.29,18174.09,20600,18174.09
2011-03-14,18167.1,18463.84,18155.43,18439.48,15400,18439.48
2011-03-15,18113.79,18326.33,17920.55,18167.64,22400,18167.64
2011-03-16,18263.68,18444.47,18263.68,18358.69,16200,18358.69
2011-03-17,18227.16,18354.27,18104.02,18149.87,18200,18149.87
2011-03-18,18251.18,18259.61,17849.53,17878.81,16400,17878.81
2011-03-21,17984.72,18007.73,17792.17,17839.05,12400,17839.05
2011-03-22,17929.09,18041.38,17878.8,17988.3,11800,17988.3
2011-03-23,17972.04,18218.28,17950.17,18206.16,13400,18206.16
2011-03-24,18286.42,18373.97,18269.32,18350.74,11200,18350.74
2011-03-25,18480.69,18858.3,18480.69,18815.64,15200,18815.64
2011-03-28,18799.71,19024.18,18799.57,18943.14,12800,18943.14
2011-03-29,18949.57,19226.21,18944.82,19120.8,17200,19120.8
2011-03-30,19178.77,19357.1,19178.77,19290.18,12200,19290.18
2011-03-31,19339.75,19575.16,19284.35,19445.22,16200,19445.22
2011-04-01,19463.11,19562.55,19382.35,19420.39,12400,19420.39
2011-04-04,19473.93,19729.6,19449.36,19701.73,10600,19701.73
2011-04-05,19731.38,19770.21,19523.54,19686.82,12600,19686.82
2011-04-06,19698.61,19811.14,19550.55,19612.2,14400,19612.2
2011-04-07,19620.88,19665.09,19537.02,19591.18,9600,19591.18
2011-04-08,19602.81,19697.21,19388.42,19451.45,10400,19451.45
2011-04-11,19382.91,19426.3,19242.59,19262.54,9400,19262.54
2011-04-13,19187.01,19737.33,19101.63,19696.86,17800,19696.86
2011-04-15,19670.07,19700.96,19337.12,19386.82,17000,19386.82
2011-04-18,19389.74,19649.22,19071.47,19091.17,13800,19091.17
2011-04-19,19091.78,19201.92,18976.19,19121.83,11400,19121.83
2011-04-20,19274.21,19484.77,19171.03,19470.98,15400,19470.98
2011-04-21,19582.5,19695.98,19530.5,19602.23,15200,19602.23
2011-04-25,19538.52,19697.49,19531.34,19584.31,11400,19584.31
2011-04-26,19596.32,19626.13,19306.92,19545.35,11600,19545.35
2011-04-27,19610.71,19633.63,19412.79,19448.69,13400,19448.69
2011-04-28,19532.85,19542.05,19265.92,19292.02,14000,19292.02
2011-04-29,19292.57,19356.5,19015.05,19135.96,10600,19135.96
2011-05-02,19224.05,19253.87,18954.76,18998.02,9400,18998.02
2011-05-03,18979.31,19024.95,18502.42,18534.69,13400,18534.69
2011-05-04,18558.33,18604.36,18339.53,18469.36,13000,18469.36
2011-05-05,18484.71,18569.21,18160.65,18210.58,14800,18210.58
2011-05-06,18289.78,18568.48,18271.68,18518.81,30200,18518.81
2011-05-09,18628.63,18643.58,18367.21,18528.96,9200,18528.96
2011-05-10,18564.95,18689.37,18429.06,18512.77,13200,18512.77
2011-05-11,18572.61,18622.44,18454.93,18584.96,10000,18584.96
2011-05-12,18525.32,18610.02,18314.34,18335.79,10200,18335.79
2011-05-13,18362.45,18724.54,18280.7,18531.28,12600,18531.28
2011-05-16,18492.68,18492.68,18319.88,18345.03,9400,18345.03
2011-05-17,18374.45,18435.8,18084.67,18137.35,14200,18137.35
2011-05-18,18177.32,18218.2,18020.79,18086.2,12400,18086.2
2011-05-19,18166.64,18198.45,18057.82,18141.4,13400,18141.4
2011-05-20,18199.96,18429.47,18161.38,18326.09,17000,18326.09
2011-05-23,18269.06,18269.06,17971.02,17993.33,10400,17993.33
2011-05-24,18016.43,18110.39,17933.94,18011.97,12600,18011.97
2011-05-25,17976.36,17976.36,17786.13,17847.24,10200,17847.24
2011-05-26,17917.11,18072.61,17862.88,18044.64,12600,18044.64
2011-05-27,18105.61,18298.64,18087.16,18266.1,12800,18266.1
2011-05-30,18319.74,18380.17,18199.52,18232.06,11600,18232.06
2011-05-31,18266.61,18526.8,18266.61,18503.28,14600,18503.28
2011-06-01,18527.12,18636.12,18514.66,18608.81,12600,18608.81
2011-06-02,18425.85,18540.67,18390.57,18494.18,15400,18494.18
2011-06-03,18554.4,18672.65,18345.85,18376.48,14400,18376.48
2011-06-06,18344.27,18458.63,18258.42,18420.11,8800,18420.11
2011-06-07,18355.3,18545.95,18351.24,18495.62,10000,18495.62
2011-06-08,18448.4,18505.1,18365.94,18394.29,10800,18394.29
2011-06-09,18394.57,18449.64,18327.01,18384.9,10000,18384.9
2011-06-10,18390.41,18399.02,18182.9,18268.54,9600,18268.54
2011-06-13,18242.25,18313.21,18120.76,18266.03,10400,18266.03
2011-06-14,18276.78,18380.19,18261.11,18308.66,26800,18308.66
2011-06-15,18298.59,18308.69,18111.21,18132.24,9600,18132.24
2011-06-16,18060.11,18155.1,17958.94,17985.88,10600,17985.88
2011-06-17,18060.17,18064.76,17844.09,17870.53,10800,17870.53
2011-06-20,17925.17,17925.17,17314.38,17506.63,12800,17506.63
2011-06-21,17574.37,17714.88,17504.27,17560.3,11400,17560.3
2011-06-22,17659.37,17678.86,17492.19,17550.63,9600,17550.63
2011-06-23,17526.92,17754.55,17482.21,17727.49,11400,17727.49
2011-06-24,17804.94,18268.95,17804.94,18240.68,14800,18240.68
2011-06-27,18132.7,18494.11,18132.7,18412.41,13400,18412.41
2011-06-28,18493.59,18527.45,18323.44,18492.45,11400,18492.45
2011-06-29,18552.19,18715.39,18552.19,18693.86,13800,18693.86
2011-06-30,18741.1,18873.39,18723.14,18845.87,11400,18845.87
2011-07-01,18974.96,19031.38,18713.07,18762.8,14000,18762.8
2011-07-04,18896.24,18942.42,18781.88,18814.48,12200,18814.48
2011-07-05,18837.88,18837.88,18694.05,18744.56,12200,18744.56
2011-07-06,18730.29,18823.45,18682.6,18726.97,8400,18726.97
2011-07-07,18776.62,19097.78,18767.25,19078.3,11400,19078.3
2011-07-08,19084.06,19131.7,18817.71,18858.04,12200,18858.04
2011-07-11,18823.19,18843.97,18679.49,18721.39,9200,18721.39
2011-07-12,18534.11,18589.19,18326.42,18411.62,10600,18411.62
2011-07-13,18468.82,18626.41,18465.4,18596.02,9800,18596.02
2011-07-14,18563.69,18803.05,18449.23,18618.2,11800,18618.2
2011-07-15,18694.19,18936.43,18513.22,18561.92,6800,18561.92
2011-07-18,18592.19,18622.56,18469.53,18507.04,9000,18507.04
2011-07-19,18521.38,18690.42,18481.83,18653.87,8400,18653.87
2011-07-20,18756.31,18765.6,18473.9,18502.38,9800,18502.38
2011-07-21,18514.65,18566.99,18415.36,18436.19,8000,18436.19
2011-07-22,18565.04,18747.06,18533.43,18722.3,14800,18722.3
2011-07-25,18753.35,18932.27,18670.84,18871.29,22800,18871.29
2011-07-26,18898.19,18944.6,18481.63,18518.22,15600,18518.22
2011-07-27,18571.15,18578.55,18358.76,18432.25,14200,18432.25
2011-07-28,18300.55,18327.85,18188.88,18209.52,12200,18209.52
2011-07-29,18194.15,18334.27,18131.86,18197.2,16200,18197.2
2011-08-01,18352.23,18440.07,18219.25,18314.33,9600,18314.33
2011-08-02,18283.55,18283.55,18037.87,18109.89,11000,18109.89
2011-08-03,17970.19,18005.76,17859.5,17940.55,13400,17940.55
2011-08-04,17983.86,18032.55,17664.73,17693.18,11000,17693.18
2011-08-05,17350.37,17358.18,16990.91,17305.87,20400,17305.87
2011-08-08,16907.57,17247.87,16759.45,16990.18,20000,16990.18
2011-08-09,16517.87,17135.04,16432,16857.91,23800,16857.91
2011-08-10,17244.71,17256.46,17022.25,17130.51,15600,17130.51
2011-08-11,17056.61,17207.82,17012.95,17059.4,9400,17059.4
2011-08-12,17246.88,17246.88,16784.56,16839.63,13400,16839.63
2011-08-16,17015.99,17035.49,16673.52,16730.94,12600,16730.94
2011-08-17,16782.24,17000.38,16708.98,16840.8,15000,16840.8
2011-08-18,16910.27,16916.81,16433.31,16469.79,14600,16469.79
2011-08-19,16237.78,16287.72,15987.77,16141.67,16400,16141.67
2011-08-22,16155.99,16370.46,16046.48,16341.7,11600,16341.7
2011-08-23,16446.85,16549.21,16213.18,16498.47,11400,16498.47
2011-08-24,16490.78,16533.22,16253.78,16284.98,13600,16284.98
2011-08-25,16338.14,16373.84,16104.34,16146.33,12200,16146.33
2011-08-26,16155.55,16256.38,15765.53,15848.83,14200,15848.83
2011-08-29,16080.74,16462.03,16068.73,16416.33,11200,16416.33
2011-08-30,16585.1,16714.7,16443.35,16676.75,15200,16676.75
2011-09-02,16963.67,16989.86,16688.06,16821.46,12800,16821.46
2011-09-05,16678.34,16760.07,16561.46,16713.33,12200,16713.33
2011-09-06,16663.73,16894.73,16488.3,16862.81,14600,16862.81
2011-09-07,16922.31,17157.21,16922.31,17065,17400,17065
2011-09-08,17118.08,17209.66,16987.37,17165.54,12200,17165.54
2011-09-09,17189.75,17211.8,16830.95,16866.97,11800,16866.97
2011-09-12,16668.25,16668.25,16393.04,16501.74,13400,16501.74
2011-09-13,16618.17,16766.19,16374.68,16467.44,14600,16467.44
2011-09-14,16522.71,16754.22,16387.38,16709.6,16000,16709.6
2011-09-15,16837.76,16922.4,16545.47,16876.54,15400,16876.54
2011-09-16,17047.73,17122.54,16889.58,16933.83,20400,16933.83
2011-09-19,16865.93,16865.93,16709.41,16745.35,11600,16745.35
2011-09-20,16768.63,17135.44,16758.69,17099.28,14200,17099.28
2011-09-21,17128.83,17191.12,17000.61,17065.15,13400,17065.15
2011-09-22,16827.85,16833.61,16316.03,16361.15,18400,16361.15
2011-09-23,16222.37,16368.41,16052.47,16162.06,22000,16162.06
2011-09-26,16209.19,16209.19,15801.01,16051.1,18800,16051.1
2011-09-27,16289.32,16551.65,16282.74,16524.03,16200,16524.03
2011-09-28,16663.26,16663.26,16363.63,16446.02,19600,16446.02
2011-09-29,16387.91,16756.08,16316.66,16698.07,19200,16698.07
2011-09-30,16599.74,16745.16,16404.78,16453.76,20000,16453.76
2011-10-03,16255.97,16255.97,16056.33,16151.45,17000,16151.45
2011-10-04,16081.77,16202.38,15745.43,15864.86,19600,15864.86
2011-10-05,15967.72,16044.91,15760.53,15792.41,18800,15792.41
2011-10-07,16222.49,16347.48,16148.97,16232.54,16800,16232.54
2011-10-10,16270.07,16595.93,16230.77,16557.23,17200,16557.23
2011-10-11,16668.15,16774.12,16510.71,16536.47,20000,16536.47
2011-10-12,16660.43,16987.06,16608.57,16958.39,21200,16958.39
2011-10-13,17048,17084.07,16854.03,16883.92,18000,16883.92
2011-10-14,16836.83,17112.45,16828.45,17082.69,15400,17082.69
2011-10-17,17176.05,17188.55,16928.38,17025.09,18400,17025.09
2011-10-18,16817.38,16824.76,16669.04,16748.29,14000,16748.29
2011-10-19,16883.36,17106.99,16874.34,17085.34,11400,17085.34
2011-10-20,16911.85,16962.06,16744.99,16936.89,12000,16936.89
2011-10-21,16975.79,17032.32,16752.21,16785.64,13800,16785.64
2011-10-24,17011.06,17104.88,16898.6,16939.28,12600,16939.28
2011-10-25,17012.79,17322.13,16900.26,17254.86,17600,17254.86
2011-10-26,17336.34,17350.49,17273.52,17288.83,4800,17288.83
2011-10-28,17671.86,17908.13,17671.86,17804.8,23800,17804.8
2011-10-31,17806.21,17813.11,17668.27,17705.01,15800,17705.01
2011-11-01,17540.55,17661.78,17422.47,17480.83,17600,17480.83
2011-11-02,17347.7,17615.92,17337.65,17464.85,15400,17464.85
2011-11-03,17430.69,17527.1,17278.03,17481.93,17000,17481.93
2011-11-04,17674.7,17702.26,17474.39,17562.61,18400,17562.61
2011-11-08,17593.67,17632.23,17455.22,17569.53,11000,17569.53
2011-11-09,17641.98,17658.34,17331.23,17362.1,15000,17362.1
2011-11-11,17187.89,17279.23,17096.84,17192.82,18200,17192.82
2011-11-14,17348.52,17391.99,17094.43,17118.74,15000,17118.74
2011-11-15,17081.62,17172.09,16837.56,16882.67,18000,16882.67
2011-11-16,16872.3,16878.3,16641.65,16775.87,19600,16775.87
2011-11-17,16754.68,16807.15,16408.5,16461.71,17000,16461.71
2011-11-18,16387.7,16396.69,16164.99,16371.51,21600,16371.51
2011-11-21,16297.03,16297.03,15900.3,15946.1,21400,15946.1
2011-11-22,15995.69,16212.95,15970.11,16065.42,19400,16065.42
2011-11-23,15969.6,15969.6,15478.69,15699.97,17400,15699.97
2011-11-24,15715.81,15901.3,15479.97,15858.49,18600,15858.49
2011-11-25,15781.25,15891.05,15645.78,15695.43,19200,15695.43
2011-11-28,15890.8,16186.68,15888.28,16167.13,20200,16167.13
2011-11-29,16210.37,16210.37,15952.54,16008.34,14800,16008.34
2011-11-30,15868.96,16179.56,15849.57,16123.46,16800,16123.46
2011-12-01,16555.93,16718.11,16430.61,16483.45,19800,16483.45
2011-12-02,16493.98,16888.84,16428.66,16846.83,28600,16846.83
2011-12-05,16812.3,16863.1,16691.21,16805.33,13400,16805.33
2011-12-07,16830.04,17003.71,16781.62,16877.06,14000,16877.06
2011-12-08,16819.74,16847.82,16421.55,16488.24,16000,16488.24
2011-12-09,16258.44,16382.57,16142.32,16213.46,18400,16213.46
2011-12-12,16354.96,16360.32,15839.96,15870.35,21200,15870.35
2011-12-13,15778.62,16079.38,15771.59,16002.51,23600,16002.51
2011-12-14,15963.75,16133.41,15855.12,15881.14,19000,15881.14
2011-12-15,15739.05,15908.02,15596.22,15836.47,19800,15836.47
2011-12-16,15868.78,16068.9,15425.2,15491.35,20400,15491.35
2011-12-19,15440.1,15440.1,15190.74,15379.34,18000,15379.34
2011-12-20,15436.12,15448.13,15135.86,15175.08,20800,15175.08
2011-12-21,15487.75,15727.31,15377.04,15685.21,22000,15685.21
2011-12-22,15546.66,15834.63,15472.7,15813.36,18800,15813.36
2011-12-23,15863.43,15911.23,15671.28,15738.7,17000,15738.7
2011-12-26,15782.17,15998.44,15761.18,15970.75,11800,15970.75
2011-12-27,15983.98,16049.12,15799.63,15873.95,10800,15873.95
2011-12-28,15854.36,15887.8,15666.46,15727.85,11800,15727.85
2011-12-29,15658.94,15724.6,15515.44,15543.93,12800,15543.93
2011-12-30,15583.55,15694.05,15406.93,15454.92,12800,15454.92
2012-01-02,15534.67,15542.85,15358.02,15517.92,14200,15517.92
2012-01-03,15640.56,15970.31,15640.56,15939.36,16200,15939.36
2012-01-04,15967.49,16004.69,15822.32,15882.64,17800,15882.64
2012-01-05,15893.07,15980.17,15809.31,15857.08,21200,15857.08
2012-01-06,15789.08,16001.31,15664.91,15867.73,17200,15867.73
2012-01-09,15840.22,15871.51,15678.3,15814.72,11200,15814.72
2012-01-10,15898.32,16180.97,15898.32,16165.09,19600,16165.09
2012-01-11,16222.37,16244.7,16127.77,16175.86,18600,16175.86
2012-01-12,16117.19,16178.58,15962.59,16037.51,14400,16037.51
2012-01-13,16144.57,16257.34,16049.78,16154.62,19600,16154.62
2012-01-16,16086.74,16214.36,16037.6,16189.36,13400,16189.36
2012-01-17,16270.87,16501.38,16270.87,16466.05,18800,16466.05
2012-01-18,16502.42,16517.96,16384.48,16451.47,16200,16451.47
2012-01-19,16573.87,16662.06,16572.1,16643.74,16800,16643.74
2012-01-20,16745.01,16788.48,16611.71,16739.01,18000,16739.01
2012-01-23,16667.02,16784,16659.32,16751.73,15000,16751.73
2012-01-24,16806.72,17050.32,16770.01,16995.77,18200,16995.77
2012-01-25,17068.85,17130.24,17016.69,17077.18,14000,17077.18
2012-01-27,17201.33,17258.97,17106.57,17233.98,17200,17233.98
